ITERATIONS,DeltaOmega,RewardMean,Wins,RewardStd,NormDeltaVar,NormDeltaOmega,TimestepsMean,Omega,TimestepsStd,ConfortViolation,Traj,ReturnsStd,OmegaBefore,ReturnsMean
50,-0.052397722508198186,8.095939593194503,99.2,0.08984205505442364,0.02958023345102348,0.052397722508198186,200.536,6.069757566850527,5.863847201283473,0,250,49.108090504418534,6.122155289358725,1623.527342260853
51,-0.05839132079712872,8.129458780093294,99.2,0.08777104652078975,0.026917794475533288,0.05839132079712872,200.688,6.011366246053398,4.860314393123144,0,250,40.60892170230248,6.069757566850527,1631.4848236593632
52,-0.036683060727118466,8.165842753078987,99.6,0.07951797860980081,0.03762587424062229,0.036683060727118466,200.848,5.974683185326279,2.3985195433850444,0,250,21.222930462500717,6.011366246053398,1640.0931852704084
53,-0.028000977475019617,8.18506464364823,98.8,0.09723297706316943,0.04019487262977277,0.028000977475019617,200.616,5.94668220785126,4.222386055300959,0,250,36.05273088785661,5.974683185326279,1642.0549285501336
54,-0.05269794417567919,8.2028820321501,98.8,0.09619282118718399,0.03928604699081564,0.05269794417567919,200.656,5.893984263675581,4.362758760234168,0,250,37.29795162461907,5.94668220785126,1645.9574970431104
55,-0.05398293524483044,8.23479699738796,99.2,0.08791659117295118,0.04783489950081082,0.05398293524483044,200.692,5.84000132843075,3.607372450967602,0,250,31.52263701266336,5.893984263675581,1652.6578789997845
56,-0.0644965809635254,8.264869546496195,99.2,0.08833562413112611,0.05453762347174531,0.0644965809635254,200.208,5.775504747467225,8.949454508516148,0,250,75.6417443910326,5.84000132843075,1654.6930021649105
57,-0.05404069271598555,8.302464681024205,98.8,0.09479913600105108,0.07173187843682864,0.05404069271598555,199.94,5.721464054751239,9.789811029841182,0,250,83.08306011056547,5.775504747467225,1659.9947883239793
58,-0.058076770581574344,8.333416786361319,99.2,0.08738475413797617,0.05956961453272057,0.058076770581574344,200.82,5.663387284169665,2.044407004488099,0,250,19.303597802704747,5.721464054751239,1673.5167590370804
59,-0.05965321659637812,8.367287479973111,99.6,0.07735772291323147,0.05657877461355098,0.05965321659637812,200.98,5.603734067573287,0.3155946767611899,0,250,5.091914157210642,5.663387284169665,1681.6574377249958
60,-0.06278231351945163,8.400947892126391,99.6,0.07742694352072806,0.06985105558780037,0.06278231351945163,200.968,5.540951754053835,0.504951482817904,0,250,6.378476991008735,5.603734067573287,1688.3216959848567
61,-0.06676159247456415,8.434760596318373,98.0,0.1085288292988606,0.0629998764201119,0.06676159247456415,200.392,5.474190161579271,5.410945943178512,0,250,47.73135672543389,5.540951754053835,1690.2585454174312
62,-0.06263586788889075,8.472336054964996,97.6,0.11481201227735881,0.057032335632426684,0.06263586788889075,200.012,5.41155429369038,11.440098600973684,0,250,97.97544728056332,5.474190161579271,1694.5688790256586
63,-0.06000763081260985,8.50628825981414,96.8,0.12635218182434896,0.04876933011039605,0.06000763081260985,200.244,5.35154666287777,5.708280301456823,0,250,50.56905601939612,5.41155429369038,1703.3331862982227
64,-0.053876995846041,8.541683100953032,96.0,0.13587991025668633,0.07303124928037595,0.053876995846041,200.668,5.297669667031729,2.0779258889575445,0,250,19.65406929120327,5.35154666287777,1714.042464502043
65,-0.049236319752831825,8.569495832051526,95.19999999999999,0.14707743353603633,0.055923628836591174,0.049236319752831825,200.3,5.2484333472788975,5.016971197844373,0,250,45.22642043577075,5.297669667031729,1716.4700151599206
66,-0.035536051656169576,8.598439481930535,98.4,0.09852541226099394,0.07580712758610278,0.035536051656169576,200.524,5.212897295622728,4.298072125965314,0,250,38.58879429719516,5.2484333472788975,1724.1934786746385
67,-0.04112880649526751,8.618661523216403,99.2,0.08120368710203793,0.062178722142987454,0.04112880649526751,200.848,5.1717684891274605,1.6949619464754953,0,250,15.709725372935107,5.212897295622728,1731.040929614968
68,-0.035258141627112494,8.643012085433694,99.2,0.07960155585296032,0.06963953605269226,0.035258141627112494,200.768,5.136510347500348,2.7338939262524438,0,250,24.541191806581384,5.1717684891274605,1735.2402503683522
69,-0.0389456581792853,8.660679124008443,99.2,0.07967730330237863,0.059539288103152434,0.0389456581792853,200.604,5.097564689321063,5.594924843105579,0,250,49.63669406361479,5.136510347500348,1737.3668749925894
70,-0.030308393034204073,8.682989690946227,100.0,0.05631052006469084,0.0592945618994296,0.030308393034204073,201.0,5.067256296286859,0.0,0,250,2.2845222959979186,5.097564689321063,1745.2809278801915
71,-0.026436586078690816,8.696692431855082,100.0,0.058229143383334514,0.06387034758454874,0.026436586078690816,201.0,5.040819710208168,0.0,0,250,2.9114580747473697,5.067256296286859,1748.0351788028715
