Traj,Omega,NormDeltaVar,ReturnsStd,NormDeltaOmega,RewardMean,DeltaOmega,RewardStd,Theta,OmegaBefore,Wins,ITERATIONS,TimestepsMean,TimestepsStd,ReturnsMean,ConfortViolation
40,0.9913500033133058,0.28649619646505187,83.35100479298374,0.0003224368299673541,2.9398,[[0.00032244]],2.958306265416074,0.01721697846011871,0.9910275664833385,0.0,80,500.0,0.0,1469.9,0
40,0.9916900172312404,0.3000997418349982,79.86411897717272,0.00034001391793458957,2.9037,[[0.00034001]],2.9314716969467742,0.016865110207755805,0.9913500033133058,0.0,81,500.0,0.0,1451.85,0
40,0.9919833421007468,0.2716274317432479,75.15184628470547,0.000293324869506395,2.926,[[0.00029332]],2.952443733587484,0.016552725580510096,0.9916900172312404,0.0,82,500.0,0.0,1463.0,0
40,0.9922495507434147,0.2944585389655927,76.83195949603264,0.0002662086426679089,2.937,[[0.00026621]],2.9497171050797397,0.016220509002507346,0.9919833421007468,0.0,83,500.0,0.0,1468.5,0
40,0.9925532189462406,0.28413146026535685,81.17290188234001,0.0003036682028259019,2.8948,[[0.00030367]],2.9306881376222886,0.015906163952339587,0.9922495507434147,0.0,84,500.0,0.0,1447.4,0
40,0.992691573248982,0.27846723878950996,82.63044233210906,0.00013835430274145022,2.9498,[[0.00013835]],2.9567346786615802,0.015603903328547015,0.9925532189462406,0.0,85,500.0,0.0,1474.9,0
40,0.9928347199430538,0.2938613592317836,85.25397351443509,0.00014314669407178293,2.9032,[[0.00014315]],2.9356140345760715,0.015291063148178415,0.992691573248982,0.0,86,500.0,0.0,1451.6,0
40,0.9930081522646679,0.2899684328296743,77.0010389540297,0.0001734323216140421,2.9364,[[0.00017343]],2.954988162412838,0.014988422244819914,0.9928347199430538,0.0,87,500.0,0.0,1468.2,0
40,0.9931615297851215,0.2964104546054074,90.71591646453228,0.00015337752045363473,2.9297,[[0.00015338]],2.9508402040774753,0.014685155518654182,0.9930081522646679,0.0,88,500.0,0.0,1464.85,0
40,0.9932583702078195,0.29893152952065094,92.08407842835807,9.684042269797466e-05,2.9373,[[9.68404227e-05]],2.9526375852786266,0.01438543291235798,0.9931615297851215,0.0,89,500.0,0.0,1468.65,0
40,0.9933869367668823,0.2764293855622455,74.39321205593963,0.00012856655906279268,2.913,[[0.00012857]],2.9442199306437686,0.0141136407016535,0.9932583702078195,0.0,90,500.0,0.0,1456.5,0
40,0.993526387360369,0.2541955266497169,80.45992791445939,0.00013945059348674516,2.932,[[0.00013945]],2.952858953624436,0.013868180067076063,0.9933869367668823,0.0,91,500.0,0.0,1466.0,0
40,0.9936351098484151,0.2184243166431159,78.40382643723456,0.00010872248804605356,2.9516,[[0.00010872]],2.970262183713754,0.013660627083357128,0.993526387360369,0.0,92,500.0,0.0,1475.8,0
40,0.9937828272776117,0.22542836281098744,89.37302445369073,0.00014771742919661435,2.9345,[[0.00014772]],2.9639348424012293,0.013449630986349688,0.9936351098484151,0.0,93,500.0,0.0,1467.25,0
40,0.9939224038284038,0.20578783955879487,74.43438385584984,0.00013957655079210873,2.9477,[[0.00013958]],2.9585240762920963,0.013259826425678089,0.9937828272776117,0.0,94,500.0,0.0,1473.85,0
40,0.9940865584054123,0.23180609337656222,75.0429210518887,0.00016415457700846847,2.9528,[[0.00016415]],2.9647549915633835,0.013049188060037532,0.9939224038284038,0.0,95,500.0,0.0,1476.4,0
40,0.9942521820467314,0.226820692326541,62.84098980760886,0.00016562364131911256,2.9342,[[0.00016562]],2.9558874065160197,0.012846276959101439,0.9940865584054123,0.0,96,500.0,0.0,1467.1,0
40,0.9944581042668037,0.1960235677445752,90.68559698210073,0.00020592222007231875,2.9413,[[0.00020592]],2.9604314398411593,0.012673427420474953,0.9942521820467314,0.0,97,500.0,0.0,1470.65,0
40,0.9947107286181794,0.1927760626995365,72.2807719936637,0.0002526243513757409,2.9354,[[0.00025262]],2.9609165540420084,0.012505681149880966,0.9944581042668037,0.0,98,500.0,0.0,1467.7,0
40,0.9949483665857054,0.19280192826607134,83.54817472572337,0.000237637967525961,2.9521,[[0.00023764]],2.9720877493775313,0.012340105361665988,0.9947107286181794,0.0,99,500.0,0.0,1476.05,0
