TimestepsMean,ReturnsStd,TimestepsStd,NormDeltaVar,Wins,RewardMean,OmegaBefore,ITERATIONS,ConfortViolation,Omega,ReturnsMean,RewardStd,NormDeltaOmega,DeltaOmega,Traj
62.492,437.2822116316801,43.62313532977657,0.11659931006432642,2.8000000000000003,9.793585483214626,0.13618287721223912,1786,0,0.1275485583265409,612.0207440170484,1.2342172831329485,0.008634318885698211,-0.008634318885698211,250
60.928,424.38517553668777,42.30577757233638,0.10139920314206519,3.2,9.78993474861937,0.1275485583265409,1787,0,0.13348551968811567,596.4811443638808,1.247091865078172,0.005936961361574761,0.005936961361574761,250
56.972,384.10392762634797,38.298031489882085,0.09936544627159609,2.4,9.773244107657138,0.13348551968811567,1788,0,0.14106307913209173,556.8012633014424,1.293529360336058,0.007577559443976062,0.007577559443976062,250
61.692,464.7119609179492,46.292257840809626,0.0966440081047748,4.8,9.794988985795548,0.14106307913209173,1789,0,0.15552257271747189,604.2724605116989,1.2294564569925406,0.014459493585380151,0.014459493585380151,250
65.732,507.14962214732026,50.4466864719577,0.10028372522928239,8.0,9.8128421593233,0.15552257271747189,1790,0,0.18343434829249258,645.0177408166392,1.172259294918801,0.027911775575020698,0.027911775575020698,250
80.656,610.5338203242432,60.71475655884655,0.09311770701926671,14.000000000000002,9.85479157915203,0.18343434829249258,1791,0,0.2188775265024222,794.8480696080861,1.0260574744838709,0.03544317820992962,0.03544317820992962,250
96.932,725.8647227874519,72.09071629551201,0.0883346265798372,27.6,9.89583284465486,0.2188775265024222,1792,0,0.21340577401252103,959.2228692980849,0.861106288538032,0.005471752489901172,-0.005471752489901172,250
88.756,697.3646693999868,69.27522258354713,0.0927959149530691,22.8,9.879615878874977,0.21340577401252103,1793,0,0.20309431212681298,876.8751869454275,0.9282466161383527,0.010311461885708056,-0.010311461885708056,250
95.172,721.3600826961699,71.6619732912791,0.09990029150479861,25.6,9.891977099304611,0.20309431212681298,1794,0,0.18346395126550158,941.4392444950187,0.8807522930344216,0.019630360861311397,-0.019630360861311397,250
80.144,608.6655569469198,60.52836743213879,0.11434783248710707,13.600000000000001,9.853971478250772,0.18346395126550158,1795,0,0.16704921232629136,789.7366901529299,1.0316024361469511,0.01641473893921022,-0.01641473893921022,250
73.712,570.1011351231286,56.69445348532782,0.11619160989666061,11.200000000000001,9.838085217636705,0.16704921232629136,1796,0,0.16728833071812077,725.1849375624367,1.089392985881889,0.00023911839182941264,0.00023911839182941264,250
74.848,565.3306122693742,56.25585210446998,0.11682039066854372,10.0,9.83841698131207,0.16728833071812077,1797,0,0.18118835199651115,736.3858342172458,1.0883799354679122,0.013900021278390379,0.013900021278390379,250
80.144,621.151423353721,61.757552283101376,0.1331142497304171,14.799999999999999,9.855597511476883,0.18118835199651115,1798,0,0.21254693084933302,789.8670069598033,1.0245759751268917,0.03135857885282187,0.03135857885282187,250
92.224,704.1033266820813,69.92886259621272,0.10822458751565413,25.2,9.886951282892912,0.21254693084933302,1799,0,0.24504168495391188,911.8141951135158,0.8968254915458516,0.03249475410457886,0.03249475410457886,250
110.836,761.9625690649904,75.61376266262644,0.1302238607016315,38.800000000000004,9.920760776123512,0.24504168495391188,1800,0,0.2647984985080321,1099.5774413824256,0.7416428068916299,0.019756813554120234,0.019756813554120234,250
120.02,768.6501783421696,76.28176453124298,0.12097124768191231,43.6,9.931222958149034,0.2647984985080321,1801,0,0.2579882025411094,1191.945379437047,0.6846979441582141,0.00681029596692273,-0.00681029596692273,250
105.948,757.0952983156334,75.12715418542086,0.11130878370750498,36.4,9.913957217891623,0.2579882025411094,1802,0,0.23264685756934195,1050.3639393211818,0.7729391153000527,0.025341344971767432,-0.025341344971767432,250
107.696,757.1705707535862,75.14697321915234,0.10679237848412737,36.4,9.916406277090275,0.23264685756934195,1803,0,0.21390169982558377,1067.9572904175143,0.7667488508106802,0.01874515774375818,-0.01874515774375818,250
97.276,721.1904602074338,71.60592031389584,0.10773173256505171,28.4,9.897353127127849,0.21390169982558377,1804,0,0.21110903403768555,962.7749227944887,0.8549460681943879,0.0027926657878982186,-0.0027926657878982186,250
103.516,740.2808935639218,73.47751862985031,0.11536065702871463,32.800000000000004,9.909495762907262,0.21110903403768555,1805,0,0.21637824140291853,1025.7913633931082,0.8035443708964078,0.005269207365232981,0.005269207365232981,250
