ConfortViolation,TimestepsStd,Wins,Theta,RewardMean,ITERATIONS,DeltaOmega,NormDeltaVar,Omega,ReturnsStd,RewardStd,TimestepsMean,OmegaBefore,Traj,ReturnsMean,NormDeltaOmega
0,0.0,0.0,0.0036684714364851713,1.972,48,[[-0.00161124]],0.99070791919209,0.02347518491104306,5.310367218940701,0.2771569952211201,500.0,0.025086423959080627,40,986.0,0.0016112390480375674
0,0.0,0.0,0.0034263473404316054,1.9702,49,[[-0.00150428]],0.9789040089557091,0.021970908927052894,5.881326381013045,0.27186754127699764,500.0,0.02347518491104306,40,985.1,0.0015042759839901665
0,0.0,0.0,0.003190974618994654,1.9729,50,[[-0.00136777]],1.020064845329017,0.020603136510917993,4.43818656660578,0.24467445718750458,500.0,0.021970908927052894,40,986.45,0.0013677724161349006
0,0.0,0.0,0.002970297638032544,1.9732,51,[[-0.00130566]],1.026936994553779,0.01929747316286845,5.8,0.24511580936365565,500.0,0.020603136510917993,40,986.6,0.0013056633480495426
0,0.0,0.0,0.00275862964572042,1.9779,52,[[-0.00122693]],1.059148391622216,0.01807054457503346,5.476997352564633,0.2476117727411199,500.0,0.01929747316286845,40,988.95,0.0012269285878349911
0,0.0,0.0,0.0025589611333712813,1.9769,53,[[-0.00114105]],1.0761840458459062,0.016929496699112888,5.504316487993764,0.2299269231734292,500.0,0.01807054457503346,40,988.45,0.0011410478759205714
0,0.0,0.0,0.0023748425726897193,1.9778,54,[[-0.0010608]],1.0693541804724447,0.015868696690580778,4.836320915737499,0.22606892754202204,500.0,0.016929496699112888,40,988.9,0.0010608000085321097
0,0.0,0.0,0.002206836156659026,1.9786,55,[[-0.00099676]],1.0505665113910396,0.014871933177205102,5.282991576748916,0.23311379195577422,500.0,0.015868696690580778,40,989.3,0.0009967635133756765
0,0.0,0.0,0.0020459711458479662,1.9807,56,[[-0.0009117]],1.0835504224640715,0.01396023378155316,4.424646878565565,0.21313730316394644,500.0,0.014871933177205102,40,990.35,0.000911699395651942
0,0.0,0.0,0.0018979683931819498,1.982,57,[[-0.00085936]],1.0748116078631256,0.013100869727678169,4.312771730569565,0.1888809148643663,500.0,0.01396023378155316,40,991.0,0.0008593640538749909
0,0.0,0.0,0.001761756907263758,1.9835,58,[[-0.00080112]],1.065842209190194,0.012299749833475095,4.453930848138529,0.18742398459108697,500.0,0.013100869727678169,40,991.75,0.0008011198942030739
0,0.0,0.0,0.0016335230012724277,1.9838,59,[[-0.00072754]],1.081442470532025,0.01157220667784887,3.7134889255254278,0.1858428368272504,500.0,0.012299749833475095,40,991.9,0.0007275431556262243
0,0.0,0.0,0.0015229424017611107,1.9863,60,[[-0.00067406]],1.0029362009975955,0.010898150968249934,3.8180492401225,0.18333660300114654,500.0,0.01157220667784887,40,993.15,0.0006740557095989367
0,0.0,0.0,0.0014262424448343756,1.9882,61,[[-0.00062206]],0.938539600952879,0.010276094952880782,3.5482389998420345,0.1883102758746851,500.0,0.010898150968249934,40,994.1,0.0006220560153691514
0,0.0,0.0,0.001336587651939541,1.9867,62,[[-0.00058517]],0.9287609447147389,0.009690924712166506,3.012888979036566,0.16977370232164934,500.0,0.010276094952880782,40,993.35,0.0005851702407142761
0,0.0,0.0,0.0012567112624574108,1.9891,63,[[-0.00054647]],0.8814516886829438,0.009144451493433563,3.434748899119119,0.15518115220605885,500.0,0.009690924712166506,40,994.55,0.0005464732187329437
0,0.0,0.0,0.0011828863131318728,1.9888,64,[[-0.00051499]],0.865923353452132,0.008629460690142768,3.0397368307141326,0.1492466415032513,500.0,0.009144451493433563,40,994.4,0.0005149908032907949
0,0.0,0.0,0.001114495615837262,1.9889,65,[[-0.00047723]],0.8517715593997792,0.008152231508781058,3.5067791490197955,0.1564505992318342,500.0,0.008629460690142768,40,994.45,0.0004772291813617095
0,0.0,0.0,0.0010522285241661698,1.9903,66,[[-0.00044593]],0.8221993670066894,0.007706306316869228,2.752725921700161,0.13894570882182727,500.0,0.008152231508781058,40,995.15,0.00044592519191182997
0,0.0,0.0,0.0009930571688024905,1.9902,67,[[-0.00041941]],0.8276656533889479,0.007286897778773696,3.374907406137241,0.13965657879240775,500.0,0.007706306316869228,40,995.1,0.00041940853809553213
0,0.0,0.0,0.0009391619123203108,1.9913,68,[[-0.00039079]],0.7979183805542505,0.0068961106246555395,2.5253712598348783,0.1316218446915253,500.0,0.007286897778773696,40,995.65,0.0003907871541181567
0,0.0,0.0,0.0008879172954589456,1.9918,69,[[-0.00036916]],0.8022940499029545,0.006526951632984033,3.031501278244824,0.12779968701057134,500.0,0.0068961106246555395,40,995.9,0.0003691589916715067
0,0.0,0.0,0.0008430344655596564,1.9923,70,[[-0.00033725]],0.7416526148626303,0.006189699301860885,2.6976841920432424,0.14744731262386573,500.0,0.006526951632984033,40,996.15,0.0003372523311231477
0,0.0,0.0,0.0008002972605209163,1.9934,71,[[-0.00031387]],0.7438197089457503,0.00587583133008902,3.1796226191169294,0.1247254585078764,500.0,0.006189699301860885,40,996.7,0.000313867971771865
0,0.0,0.0,0.000761096370855977,1.993,72,[[-0.0002925]],0.7180354120797858,0.005583328072940199,2.1330729007701543,0.11811435137188031,500.0,0.00587583133008902,40,996.5,0.00029250325714882085
0,0.0,0.0,0.0007242891928419494,1.9924,73,[[-0.00027786]],0.7086581607136822,0.005305470380994744,2.7856776554368237,0.12305380936809715,500.0,0.005583328072940199,40,996.2,0.0002778576919454552
0,0.0,0.0,0.0006883802277505459,1.9943,74,[[-0.00025947]],0.7269334673776058,0.00504600486917414,2.752725921700161,0.10661852559475771,500.0,0.005305470380994744,40,997.15,0.00025946551182060365
0,0.0,0.0,0.0006552477370216483,1.9928,75,[[-0.00024893]],0.705158686667275,0.0047970794701891785,2.8000000000000003,0.11978380524929066,500.0,0.00504600486917414,40,996.4,0.0002489253989849619
0,0.0,0.0,0.0006233830043528397,1.9927,76,[[-0.00023536]],0.7126309938708175,0.004561722649494731,2.859632843565761,0.12060974255838537,500.0,0.0047970794701891785,40,996.35,0.00023535682069444723
0,0.0,0.0,0.0005921449883478706,1.9936,77,[[-0.00022107]],0.7348691928377349,0.004340649924950358,2.891366458960192,0.11295592060622588,500.0,0.004561722649494731,40,996.8,0.0002210727245443734
0,0.0,0.0,0.0005638854981332427,1.9942,78,[[-0.00020818]],0.6989797155523974,0.004132468710766827,2.142428528562855,0.10754701297572145,500.0,0.004340649924950358,40,997.1,0.00020818121418353114
0,0.0,0.0,0.0005364340820516668,1.9958,79,[[-0.00019216]],0.7133570290070566,0.003940309298520812,2.142428528562855,0.0915552292335069,500.0,0.004132468710766827,40,997.9,0.000192159412246015
0,0.0,0.0,0.000509938204073713,1.9942,80,[[-0.00018035]],0.7240092534726443,0.0037599565890189426,2.4062418831031933,0.10754701297572145,500.0,0.003940309298520812,40,997.1,0.0001803527095018691
0,0.0,0.0,0.000484755690106663,1.995,81,[[-0.00017059]],0.7238530379345747,0.003589367749900003,2.2693611435820435,0.09987492177719089,500.0,0.0037599565890189426,40,997.5,0.00017058883911893943
0,0.0,0.0,0.00046067279008541964,1.9946,82,[[-0.00015928]],0.7283016926625976,0.0034300881785276666,2.027313493271329,0.10378265751078068,500.0,0.003589367749900003,40,997.3,0.00015927957137233661
0,0.0,0.0,0.00043859809619246085,1.9958,83,[[-0.00014944]],0.7018085340366298,0.00328064526691992,2.4062418831031933,0.10383814328078096,500.0,0.0034300881785276666,40,997.9,0.00014944291160774639
0,0.0,0.0,0.0004179163944750237,1.9961,84,[[-0.00013808]],0.6903255226958009,0.0031425672136513993,1.9742087022399633,0.10091972057036225,500.0,0.00328064526691992,40,998.05,0.00013807805326852092
0,0.0,0.0,0.00039911415667416084,1.9967,85,[[-0.00012909]],0.6578960900268811,0.0030134775833189375,1.7825543469975889,0.08117333305957074,500.0,0.0031425672136513993,40,998.35,0.00012908963033246177
0,0.0,0.0,0.00038167788058243826,1.9963,86,[[-0.00012204]],0.6383988240050655,0.002891440553764612,1.7542804792848832,0.08594364432580223,500.0,0.0030134775833189375,40,998.15,0.00012203702955432532
0,0.0,0.0,0.00036521444932164016,1.9974,87,[[-0.0001142]],0.6301252066871825,0.0027772364305970465,1.5198684153570663,0.07206413809933483,500.0,0.002891440553764612,40,998.7,0.00011420412316756568
0,0.0,0.0,0.00035009107937816275,1.9959,88,[[-0.00010876]],0.604378497095297,0.0026684738028769452,1.759971590679804,0.09046098606581733,500.0,0.0027772364305970465,40,997.95,0.00010876262772010125
0,0.0,0.0,0.00033664997947497986,1.9975,89,[[-0.00010085]],0.5594719874141987,0.002567626096699896,1.9332614929181204,0.0948353836919533,500.0,0.0026684738028769452,40,998.75,0.00010084770617704939
0,0.0,0.0,0.00032376370056822693,1.9974,90,[[-9.19294021e-05]],0.5577530583214951,0.002475696694629057,1.8734993995195195,0.08713919898644927,500.0,0.002567626096699896,40,998.7,9.1929402070839e-05
0,0.0,0.0,0.00031143989135809204,1.9969,91,[[-8.71254755e-05]],0.5545700533649836,0.0023885712190905607,1.6424067705656842,0.07867903151412073,500.0,0.002475696694629057,40,998.45,8.712547553849613e-05
0,0.0,0.0,0.0003002303765935449,1.9979,92,[[-8.27022073e-05]],0.5238209353627354,0.002305869011797877,1.413329402510257,0.06477337415944918,500.0,0.0023885712190905607,40,998.95,8.270220729268392e-05
0,0.0,0.0,0.00028945146773482367,1.9973,93,[[-7.89685209e-05]],0.5224748962517225,0.0022269004908919768,2.0192820506308675,0.08827632751763069,500.0,0.002305869011797877,40,998.65,7.896852090590002e-05
0,0.0,0.0,0.0002794918512233899,1.9974,94,[[-7.63589068e-05]],0.500349519998835,0.002150541584071339,1.6462077633154328,0.07206413809933483,500.0,0.0022269004908919768,40,998.7,7.635890682063757e-05
0,0.0,0.0,0.00026945374100314606,1.9977,95,[[-7.29573461e-05]],0.5226635724035305,0.0020775842379563425,1.7255433926737398,0.0677842902153589,500.0,0.002150541584071339,40,998.85,7.29573461149967e-05
0,0.0,0.0,0.0002599289009992983,1.9973,96,[[-6.91504479e-05]],0.5142588509987576,0.0020084337900955897,1.3702189606044721,0.073435073364163,500.0,0.0020775842379563425,40,998.65,6.915044786075285e-05
0,0.0,0.0,0.00025134389953276035,1.9978,97,[[-6.63267317e-05]],0.47992291547679145,0.0019421070583720019,1.3379088160259651,0.06629600289610227,500.0,0.0020084337900955897,40,998.9,6.632673172358777e-05
0,0.0,0.0,0.00024323150409684085,1.9976,98,[[-6.27920522e-05]],0.46880788378773275,0.0018793150061885199,1.1661903789690602,0.06924045060511956,500.0,0.0019421070583720019,40,998.8,6.279205218348203e-05
0,0.0,0.0,0.00023478750175960698,1.9977,99,[[-5.8687417e-05]],0.5048752908762708,0.0018206275891774735,1.4756354563373706,0.0677842902153589,500.0,0.0018793150061885199,40,998.85,5.868741701104633e-05
