OmegaBefore,ReturnsMean,TimestepsStd,Omega,DeltaOmega,RewardStd,Traj,ReturnsStd,NormDeltaOmega,Wins,TimestepsMean,NormDeltaVar,RewardMean,ITERATIONS,ConfortViolation
3.8637999434741674,1829.3571304641102,11.57063939460564,3.7636320992214487,-0.10016784425271874,0.1729692339641927,250,109.66358744857979,0.10016784425271874,94.0,198.548,0.11562541499452271,9.213676946955449,38,0
3.7636320992214487,1831.706232432288,13.326643388340516,3.668452311037827,-0.09517978818362183,0.19343820716477297,250,127.32169743413759,0.09517978818362183,92.4,198.024,0.1151335427225547,9.249920375471095,39,0
3.668452311037827,1842.9426027426487,13.000369225525866,3.5783259223919397,-0.09012638864588718,0.18845189902756262,250,123.80073257857111,0.09012638864588718,92.80000000000001,198.48,0.11483503108528226,9.285281150456715,40,0
3.5783259223919397,1836.0261871524858,15.597802922206705,3.4950661286727724,-0.08325979371916725,0.20748265884627853,250,149.4205574026888,0.08325979371916725,91.2,197.112,0.10977009586115179,9.314634254395907,41,0
3.4950661286727724,1834.568031585957,17.116413175662707,3.4201528198356077,-0.07491330883716474,0.222204067896537,250,164.29464157295857,0.07491330883716474,90.0,196.42,0.11395951843536273,9.34002663469075,42,0
3.4201528198356077,1830.0991370260047,20.7411181955072,3.3538712190659945,-0.0662816007696132,0.2400838581526742,250,198.23864488106355,0.0662816007696132,88.4,195.496,0.11052104768417871,9.361312441308288,43,0
3.3538712190659945,1830.2044595418427,19.002920196643462,3.2957451606426744,-0.05812605842332008,0.2547310647717872,250,183.24414559240904,0.05812605842332008,86.8,195.032,0.12544626466089617,9.384123936286572,44,0
3.2957451606426744,1839.377464185676,17.939509469324964,3.2413481286501127,-0.05439703199256174,0.24732782413776247,250,173.58203264410588,0.05439703199256174,87.6,195.5,0.1314236272432451,9.408580379466374,45,0
3.2413481286501127,1843.7232883553086,18.19608573292619,3.188728600117639,-0.05261952853247376,0.25134680394825026,250,176.26654546206976,0.05261952853247376,87.2,195.592,0.1282672048670239,9.426373718533013,46,0
3.188728600117639,1856.5874921528093,16.826805282049232,3.1359193978766773,-0.05280920224096164,0.23976539550903866,250,162.92835896682593,0.05280920224096164,88.4,196.568,0.13414406502804763,9.445013899275617,47,0
3.1359193978766773,1855.093411585741,19.05641141453448,3.076536742290116,-0.059382655586561306,0.22742570584828734,250,184.5798887398781,0.059382655586561306,89.60000000000001,195.928,0.14422473737785246,9.46824043314759,48,0
3.076536742290116,1873.402415238345,12.926019650302255,3.0111401247711895,-0.06539661751892645,0.2274353808386049,250,126.61345004465284,0.06539661751892645,89.60000000000001,197.504,0.13933421614793354,9.485389740148783,49,0
3.0111401247711895,1862.540841801415,18.003555204458923,2.9400794588875305,-0.071060665883659,0.26650979380478784,250,175.37322921542878,0.071060665883659,85.6,196.0,0.1457546293773315,9.502759396945995,50,0
2.9400794588875305,1885.5783525069114,12.305368584483766,2.8626331317791127,-0.07744632710841781,0.20191357401037982,250,121.82776779042486,0.07744632710841781,92.0,197.852,0.13872633782502145,9.53024661113818,51,0
2.8626331317791127,1875.3260844444721,13.935508602128593,2.785691791172377,-0.07694134060673585,0.26015608871583135,250,138.43344255135375,0.07694134060673585,86.4,196.44,0.12548014927065435,9.546559175547099,52,0
2.785691791172377,1882.2780582473347,16.51860768951185,2.709513030141606,-0.07617876103077093,0.24070141496393013,250,162.23176058258437,0.07617876103077093,88.4,196.66,0.13463022500193084,9.571229829387445,53,0
