RewardMean,Omega,ITERATIONS,ReturnsMean,TimestepsMean,ReturnsStd,Wins,RewardStd,TimestepsStd,OmegaBefore,ConfortViolation,Theta,DeltaOmega,NormDeltaOmega,NormDeltaVar,Traj
2.8126,0.9792842210707404,93,1406.3,500.0,73.74625414215966,0.0,2.8684632192168684,0.0,0.9790298619949575,0,0.049202433723423304,0.0002543590757829728,0.0002543590757829728,0.09517210774431106,20
2.8018,0.9795677257908436,94,1400.9,500.0,59.32107551283945,0.0,2.8749811755905466,0.0,0.9792842210707404,0,0.04951394552799129,0.0002835047201031893,0.0002835047201031893,0.09484221887652922,20
2.7876,0.9800164245742846,95,1393.8,500.0,93.24784179808131,0.0,2.8545553489116307,0.0,0.9795677257908436,0,0.04948157916747671,0.0004486987834410039,0.0004486987834410039,0.009827818608997063,20
2.8404,0.9804642277162325,96,1420.2,500.0,89.38210111649872,0.0,2.8883434421827334,0.0,0.9800164245742846,0,0.04925137399469749,0.00044780314194792226,0.00044780314194792226,0.07007652046137025,20
2.8212,0.9810000510734862,97,1410.6,500.0,59.97366088542535,0.0,2.871938467307404,0.0,0.9804642277162325,0,0.048850650861969595,0.0005358233572536619,0.0005358233572536619,0.12272794858061076,20
2.7804,0.9815642080635787,98,1390.2,500.0,89.10196406365014,0.0,2.8393970909332142,0.0,0.9810000510734862,0,0.04832420308664193,0.0005641569900924903,0.0005641569900924903,0.1626928662515823,20
2.8048,0.9822519236169152,99,1402.4,500.0,60.80657859146492,0.0,2.8602616943209935,0.0,0.9815642080635787,0,0.047674996109627756,0.0006877155533364654,0.0006877155533364654,0.20296291727981242,20
2.7936,0.9828584893280787,100,1396.8,500.0,61.62921385187385,0.0,2.8479815729740956,0.0,0.9822519236169152,0,0.04674134186139432,0.0006065657111635758,0.0006065657111635758,0.29654209156267086,20
2.8116,0.983571429897088,101,1405.8,500.0,66.37137937394401,0.0,2.8559596355691026,0.0,0.9828584893280787,0,0.046059336947534724,0.0007129405690092794,0.0007129405690092794,0.2201961268192889,20
2.789,0.9842653363838976,102,1394.5,500.0,74.51946054555145,0.0,2.8497506908499908,0.0,0.983571429897088,0,0.0452396484817141,0.000693906486809559,0.000693906486809559,0.26879306366296163,20
2.8462,0.9849138959229172,103,1423.1,500.0,73.8254021323284,0.0,2.8912878722119664,0.0,0.9842653363838976,0,0.04423163290249016,0.0006485595390196552,0.0006485595390196552,0.33698418850870127,20
2.7828,0.9856125222176898,104,1391.4,500.0,77.30226387370553,0.0,2.851109285874535,0.0,0.9849138959229172,0,0.04350800876596435,0.0006986262947725752,0.0006986262947725752,0.24645721310042745,20
2.8574,0.9863225389024476,105,1428.7,500.0,55.55276770782893,0.0,2.884660333557488,0.0,0.9856125222176898,0,0.04258096344840417,0.000710016684757786,0.000710016684757786,0.32152127454532575,20
2.8266,0.9869734432251737,106,1413.3,500.0,58.71720361188874,0.0,2.877139628172397,0.0,0.9863225389024476,0,0.0418510459743259,0.0006509043227260758,0.0006509043227260758,0.25789408366057387,20
2.862,0.9874759770748368,107,1431.0,500.0,80.72546066762332,0.0,2.9002337836802052,0.0,0.9869734432251737,0,0.04108641533916116,0.0005025338496631448,0.0005025338496631448,0.2748137274938358,20
2.8324,0.9880531496430134,108,1416.2,500.0,78.37576155929843,0.0,2.8717782365635407,0.0,0.9874759770748368,0,0.04026752523858932,0.000577172568176576,0.000577172568176576,0.2997976229166355,20
2.8858,0.9887244166269784,109,1442.9,500.0,62.48991918701767,0.0,2.9176288934681196,0.0,0.9880531496430134,0,0.04002857609380673,0.0006712669839650243,0.0006712669839650243,0.08858087304097495,20
2.845,0.9893513298468347,110,1422.5,500.0,75.70171728567325,0.0,2.8887324209763703,0.0,0.9887244166269784,0,0.03979867497164737,0.0006269132198563065,0.0006269132198563065,0.08570629457848611,20
2.8358,0.9898082252766086,111,1417.9,500.0,76.68239693697636,0.0,2.884898327497869,0.0,0.9893513298468347,0,0.0395020993032358,0.00045689542977389586,0.00045689542977389586,0.11126603826350845,20
2.8662,0.9902248553810895,112,1433.1,500.0,70.97739076635601,0.0,2.91898913324459,0.0,0.9898082252766086,0,0.038931409076581124,0.0004166301044808973,0.0004166301044808973,0.21637779562079373,20
2.968,0.9905055628778185,113,1484.0,500.0,63.903051570328,0.0,2.974386659464435,0.0,0.9902248553810895,0,0.03829168127071402,0.00028070749672903794,0.00028070749672903794,0.24620147796102287,20
2.849,0.9906180484869528,114,1424.5,500.0,75.63563974741008,0.0,2.884787513838757,0.0,0.9905055628778185,0,0.037739619553369644,0.00011248560913423855,0.00011248560913423855,0.21565846165148628,20
2.871,0.9906184674671157,115,1435.5,500.0,64.81627881944473,0.0,2.90574585949976,0.0,0.9906180484869528,0,0.03721053128641051,4.1898016289732e-07,4.1898016289732e-07,0.20954752466354876,20
2.8678,0.9906900813604045,116,1433.9,500.0,64.58939541441768,0.0,2.9113782234536276,0.0,0.9906184674671157,0,0.03685713363296116,7.161389328880219e-05,7.161389328880219e-05,0.14156604810177953,20
2.874,0.9907573676294363,117,1437.0,500.0,74.35455601373732,0.0,2.918376946180873,0.0,0.9906900813604045,0,0.036495171218641785,6.728626903185209e-05,6.728626903185209e-05,0.1463567482220327,20
2.8366,0.9909331158133025,118,1418.3,500.0,67.95373426089252,0.0,2.878002856148687,0.0,0.9907573676294363,0,0.036207735338994664,0.00017574818386612012,0.00017574818386612012,0.11722079717687706,20
2.8442,0.9911592965565814,119,1422.1,500.0,80.83433676353138,0.0,2.8834226814672874,0.0,0.9909331158133025,0,0.036217675610292946,0.00022618074327895865,0.00022618074327895865,0.0040687221300999,20
2.855,0.9913635933893885,120,1427.5,500.0,81.90695941127348,0.0,2.895889327995806,0.0,0.9911592965565814,0,0.0362758673974046,0.00020429683280709376,0.00020429683280709376,0.023797348397728513,20
2.797,0.9914757256878982,121,1398.5,500.0,76.55031025410675,0.0,2.8623750627756666,0.0,0.9913635933893885,0,0.036342769585261156,0.00011213229850970396,0.00011213229850970396,0.027314084070233946,20
2.8026,0.9916461715438056,122,1401.3,500.0,79.747789938029,0.0,2.8758708663637873,0.0,0.9914757256878982,0,0.03652331169696361,0.00017044585590741956,0.00017044585590741956,0.07346898100460919,20
2.8392,0.9918454680204258,123,1419.6,500.0,87.32605567641309,0.0,2.893811217063062,0.0,0.9916461715438056,0,0.03675990724633367,0.00019929647662020322,0.00019929647662020322,0.09575193486476508,20
2.8574,0.9920453690884192,124,1428.7,500.0,61.91696051971544,0.0,2.8954559640927022,0.0,0.9918454680204258,0,0.03702446651049895,0.00019990106799339102,0.00019990106799339102,0.10636957416434711,20
2.8324,0.9922241940933814,125,1416.2,500.0,80.59751857222405,0.0,2.8939782722059264,0.0,0.9920453690884192,0,0.03732546372446118,0.00017882500496213538,0.00017882500496213538,0.12013478530481336,20
2.8224,0.9923839388060585,126,1411.2,500.0,59.58657566935693,0.0,2.8778565356876284,0.0,0.9922241940933814,0,0.037837510756420625,0.00015974471267710122,0.00015974471267710122,0.2022461898228869,20
2.8364,0.9925887222731514,127,1418.2,500.0,81.99243867577059,0.0,2.891164997021097,0.0,0.9923839388060585,0,0.03789126988083711,0.00020478346709296158,0.00020478346709296158,0.021080793781003138,20
2.8476,0.9927828760275683,128,1423.8,500.0,62.74998007967812,0.0,2.904750288751169,0.0,0.9925887222731514,0,0.03807781596940433,0.00019415375441689253,0.00019415375441689253,0.0729289552721255,20
2.8542,0.9929583002784262,129,1427.1,500.0,66.54164109788697,0.0,2.8955728897750093,0.0,0.9927828760275683,0,0.03828892328330041,0.00017542425085792512,0.00017542425085792512,0.08211826601237959,20
2.877,0.9931221903899032,130,1438.5,500.0,61.148589517665904,0.0,2.9032517975539087,0.0,0.9929583002784262,0,0.03819300767127313,0.00016389011147699417,0.00016389011147699417,0.037256011431843206,20
2.8436,0.9933558895306557,131,1421.8,500.0,64.35184535038601,0.0,2.8843611147011394,0.0,0.9931221903899032,0,0.038090312297768714,0.00023369914075244136,0.00023369914075244136,0.03998916960209442,20
2.8744,0.9935967474704418,132,1437.2,500.0,69.14159384914409,0.0,2.9090590643711582,0.0,0.9933558895306557,0,0.03803501621630468,0.00024085793978612102,0.00024085793978612102,0.02157498111442635,20
2.7688,0.9938674695127916,133,1384.4,500.0,50.866885102195916,0.0,2.845794539315865,0.0,0.9935967474704418,0,0.03790569137769443,0.00027072204234979136,0.00027072204234979136,0.05057678388317299,20
2.8132,0.9940909990679841,134,1406.6,500.0,74.66485116840454,0.0,2.8697570907656975,0.0,0.9938674695127916,0,0.038120562679282384,0.00022352955519255868,0.00022352955519255868,0.08394189018260789,20
2.8182,0.9943192664664137,135,1409.1,500.0,65.04913527480592,0.0,2.8841201015214333,0.0,0.9940909990679841,0,0.038366618873820396,0.00022826739842951582,0.00022826739842951582,0.09556832017136685,20
2.8894,0.9945989649511253,136,1444.7,500.0,77.42680414430134,0.0,2.92160360761004,0.0,0.9943192664664137,0,0.03851477886938394,0.0002796984847116546,0.0002796984847116546,0.05726194367092319,20
2.893,0.9947052552431604,137,1446.5,500.0,57.826896856047874,0.0,2.929121199267794,0.0,0.9945989649511253,0,0.03847910239270602,0.00010629029203512719,0.00010629029203512719,0.013769147747524357,20
2.8914,0.9947696842042962,138,1445.7,500.0,64.28149033742139,0.0,2.9197612984625985,0.0,0.9947052552431604,0,0.038148732894565156,6.442896113578733e-05,6.442896113578733e-05,0.1280898152441381,20
2.8518,0.9947816895568904,139,1425.9,500.0,65.92260613780374,0.0,2.896279813830149,0.0,0.9947696842042962,0,0.03790777737649296,1.2005352594157692e-05,1.2005352594157692e-05,0.09409607737993042,20
