ITERATIONS,ReturnsMean,NormDeltaOmega,TimestepsStd,NormDeltaVar,TimestepsMean,DeltaOmega,Wins,OmegaBefore,Omega,RewardMean,ReturnsStd,Traj,ConfortViolation,RewardStd
546,-76.60475355795062,0.027624077593994656,0.4958870839213299,0.010269241147434638,5.564,-0.027624077593994656,0.0,23.098227042307055,23.07060296471306,-13.767928389279405,8.272846865721668,250,0,6.449022130890329
547,-76.59726426604524,0.03235498195713049,0.4935585071701227,0.008895218207241531,5.58,-0.03235498195713049,0.0,23.07060296471306,23.03824798275593,-13.727108291405957,8.251099728735287,250,0,6.418442741340014
548,-76.17119987376607,0.022645828178017524,0.494190246767376,0.007658328295283822,5.576,-0.022645828178017524,0.0,23.03824798275593,23.015602154577913,-13.660545171048435,8.18717911948791,250,0,6.390235206239191
549,-74.77344238899457,0.01075511853307276,0.49993599590347565,0.006552786547556281,5.508,-0.01075511853307276,0.0,23.015602154577913,23.00484703604484,-13.575425270333072,8.27118692164719,250,0,6.3978187389144
550,-75.44306283873597,0.013247546624075568,0.49728864857344174,0.005546594730875941,5.552,-0.013247546624075568,0.0,23.00484703604484,22.991599489420764,-13.588447917639765,8.192105091291399,250,0,6.373250072539858
551,-74.37209406009457,0.005129680866684083,0.4999839997439918,0.004646121343010904,5.496,-0.005129680866684083,0.0,22.991599489420764,22.98646980855408,-13.532040403947335,8.265824203382541,250,0,6.386329483548889
552,-74.85393944269867,0.004840800704052128,0.4992153843783262,0.0038268814730080232,5.528,-0.004840800704052128,0.0,22.98646980855408,22.981629007850028,-13.540871823932466,8.233474934783246,250,0,6.367879974975699
553,-74.17911882401278,0.0014215039325549128,0.49993599590347565,0.003093902415264806,5.492,-0.0014215039325549128,0.0,22.981629007850028,22.980207503917473,-13.506758707941147,8.196502856831941,250,0,6.376916550743613
554,-75.90563034081606,0.012557828554555783,0.4898979485566356,0.002418562663456197,5.6,0.012557828554555783,0.0,22.980207503917473,22.99276533247203,-13.5545768465743,8.062308324003581,250,0,6.32431866986969
555,-75.15831684960379,0.027079113530238175,0.4980602373207482,0.0018221391853059064,5.544,0.027079113530238175,0.0,22.99276533247203,23.019844446002267,-13.556694958442241,8.232122717685373,250,0,6.36415092699704
556,-75.07881217951095,0.01188253440083642,0.49959983987187184,0.0012839834745543618,5.52,0.01188253440083642,0.0,23.019844446002267,23.031726980403104,-13.601234090491113,8.276829774701907,250,0,6.401530101556669
557,-75.55792764509125,0.00765706638645014,0.4980602373207481,0.0008157068261713861,5.544,0.00765706638645014,0.0,23.031726980403104,23.039384046789554,-13.628774827758164,8.26573183751961,250,0,6.397810704810474
558,-76.48698246090837,0.013477041968037895,0.4906974628016737,0.00045373330366086935,5.596,0.013477041968037895,0.0,23.039384046789554,23.05286108875759,-13.668152691370329,8.104504398600643,250,0,6.380110064625754
559,-76.45322034558457,0.015179543312289212,0.4928934976239796,0.00040385781900087426,5.584,0.015179543312289212,0.0,23.05286108875759,23.06804063206988,-13.691479288249386,8.239468955590402,250,0,6.3990949868976195
560,-77.06953538018159,0.014402556945253053,0.4872945721019269,0.0006611202984899408,5.612,0.014402556945253053,0.0,23.06804063206988,23.082443189015134,-13.732989198179187,8.136204002439115,250,0,6.398822100197041
561,-76.3585600452068,0.0015423160094911736,0.4968541033341679,0.0009682526393119022,5.556,0.0015423160094911736,0.0,23.082443189015134,23.083985505024625,-13.743441332830596,8.276875563775716,250,0,6.443153500327682
562,-75.55795881748777,0.007733541581487202,0.4998559792580259,0.0012609733286012572,5.512,0.007733541581487202,0.0,23.083985505024625,23.091719046606112,-13.70790254308559,8.305860388490537,250,0,6.457407919452653
563,-76.83156371184795,0.012763731769059206,0.4928934976239796,0.0015384385248279602,5.584,0.012763731769059206,0.0,23.091719046606112,23.10448277837517,-13.759234189084518,8.209970673194977,250,0,6.430853729413872
564,-76.17309514188246,0.0022876064820529507,0.49897494927100305,0.0017952246188787516,5.532,0.0022876064820529507,0.0,23.10448277837517,23.106770384857224,-13.769539975032984,8.419634958534514,250,0,6.472587640848531
565,-75.17930162531123,0.013197173637465198,0.4994236678412428,0.0020233121634999425,5.476,0.013197173637465198,0.0,23.106770384857224,23.11996755849469,-13.72887173581286,8.399940350323925,250,0,6.493163891462199
566,-75.62624232625123,0.001630489554671044,0.4998559792580259,0.002235353041742502,5.488,-0.001630489554671044,0.0,23.11996755849469,23.11833706894002,-13.780291969069102,8.372736100729217,250,0,6.509120834310409
567,-75.95759478921723,0.010571176800514337,0.499743934430424,0.0024381076197020897,5.516,0.010571176800514337,0.0,23.11833706894002,23.128908245740533,-13.770412398335248,8.398311247432966,250,0,6.484241263054534
568,-75.43079449315773,0.014179947823770078,0.4994236678412428,0.002615124930894118,5.476,0.014179947823770078,0.0,23.128908245740533,23.143088193564303,-13.77479811781551,8.36859723623651,250,0,6.515434344647128
569,-76.84536402647264,0.015351869861106593,0.49728864857344174,0.0027942273059204637,5.552,0.015351869861106593,0.0,23.143088193564303,23.15844006342541,-13.841023779984265,8.376657857853724,250,0,6.491347568023592
570,-77.29376338639564,0.017931901060954658,0.495354418573207,0.0029599181586207465,5.568,0.017931901060954658,0.0,23.15844006342541,23.176371964486364,-13.881782217384275,8.358793189101224,250,0,6.49950449894708
571,-77.24610052280134,0.03296267895388283,0.4968541033341679,0.003112499342768498,5.556,0.03296267895388283,0.0,23.176371964486364,23.209334643440247,-13.9031858392371,8.391924035162459,250,0,6.517856815269739
572,-76.94926457282169,0.026603507147441974,0.499743934430424,0.003255282402846549,5.516,0.026603507147441974,0.0,23.209334643440247,23.23593815058769,-13.95019299724831,8.487447251006124,250,0,6.568871115380057
573,-76.41475164625072,0.02156973147645047,0.49897494927100305,0.0033871895472664115,5.468,0.02156973147645047,0.0,23.23593815058769,23.25750788206414,-13.974899715846876,8.50291063822519,250,0,6.615670611335375
574,-77.6524646804942,0.022262454443033874,0.4992153843783262,0.0035122999543230177,5.528,0.022262454443033874,0.0,23.25750788206414,23.279770336507173,-14.047117344517762,8.623703680579657,250,0,6.605826645500643
575,-78.0416069989698,0.013793785819487425,0.4987023160162784,0.003644073728033605,5.536,0.013793785819487425,0.0,23.279770336507173,23.29356412232666,-14.097111090854371,8.553012746062484,250,0,6.623230306698685
576,-77.5360292270749,0.018461365732427737,0.5,0.003754792710800274,5.5,0.018461365732427737,0.0,23.29356412232666,23.31202548805909,-14.097459859468165,8.52012848794741,250,0,6.64968044437174
577,-77.87749096815936,0.013251460308811858,0.49993599590347565,0.003862441778697031,5.508,0.013251460308811858,0.0,23.31202548805909,23.3252769483679,-14.138978026172726,8.619567555180675,250,0,6.663325532598785
578,-78.14462732688933,0.016505449780801484,0.499743934430424,0.003971147525122811,5.516,0.016505449780801484,0.0,23.3252769483679,23.341782398148702,-14.166901255781246,8.657026172117066,250,0,6.670753815035381
