Omega,D_KL_PQ_2,Eta,LossReg,NormDeltaVar,RewardStd,Epsilon,D_KL_P_HAT_Q,TimestepsStd,D_KL_PQ,ReturnsStd,TimestepsMean,ReturnsMean,ITERATIONS,OmegaBefore,DeltaOmega,RewardMean,DualReg,DualAfter,DualBefore
[5.49496739],0.4853221870387756,13.704671434055022,1e-07,0.07610518348720542,0.42636368528969876,1.0,0.04393633219028335,22.158514300376726,0.485322187039003,211.90710548598764,186.338,1745.9712151674698,65,[5.52511475],[-0.03014736],9.36991496725021,0.0001,9.452252405125735,10.392551262186272
[5.4657314],0.47237908513366733,13.811725005118358,1e-07,0.06487679471950986,0.4087058965230451,1.0,0.0461866015739007,23.426348925942342,0.4723790851330705,223.95901504734547,186.224,1746.445964211435,66,[5.49496739],[-0.02923599],9.37820025459358,0.0001,9.459613956733335,10.399547364951314
[5.43674817],0.5031174130754152,13.550287115202622,1e-07,0.44948819667984063,0.4109956816304607,1.0,0.041964181874262554,21.5368776752806,0.5031174130749889,206.28471877121254,187.53,1759.8361651333275,67,[5.4657314],[-0.02898322],9.384291394088024,0.0001,9.463687859640176,10.405466950640365
[5.40894144],0.5413984858349892,13.19010515938685,1e-07,0.0760848655916743,0.4602181820624542,1.0,0.04390087999699872,21.67357570868268,0.5413984858351171,207.69622560215356,185.546,1741.5768476898809,68,[5.43674817],[-0.02780674],9.386226853124729,0.0001,9.466821795919703,10.412055953252224
[5.38265784],0.5976383305524138,12.616127720108716,1e-07,0.12099645069643783,0.46687544105822776,1.0,0.03859466813077168,23.807032910465768,0.5976383305528827,228.0871077860427,182.928,1717.9662962271175,69,[5.40894144],[-0.02628359],9.391488980512102,0.0001,9.468139073356236,10.418200054441376
[5.35686179],0.5318514693505847,13.264431617840781,1e-07,0.2207334983652371,0.42986425648087273,1.0,0.03407340747032848,22.21076090547102,0.531851469351011,213.02980710677645,186.41,1752.3551168487343,70,[5.38265784],[-0.02579606],9.400542443263422,0.0001,9.478779502406761,10.423864769715067
[5.32863032],0.5137005348142907,13.441719848263158,1e-07,0.021971144914629585,0.4579031160542415,1.0,0.034181652516153585,24.05778668123899,0.5137005348141201,230.5873848110912,183.87,1729.0594782661233,71,[5.35686179],[-0.02823147],9.403706304813854,0.0001,9.486135098030964,10.42873008552628
[5.29928564],0.4313700393030899,14.168020034762744,1e-07,0.649460020948558,0.4177980038437899,1.0,0.03942167722804515,22.49337893692275,0.43137003930297624,215.98780791019556,186.648,1756.9886812639172,72,[5.32863032],[-0.02934468],9.41338070198404,0.0001,9.498401859774134,10.43445131175268
[5.27052511],0.43627171337664095,14.122459537422534,1e-07,0.5675661224531104,0.41924551504874463,1.0,0.043169914074250394,22.523284307578237,0.4362717133767262,216.40685045415992,186.608,1757.7522949003871,73,[5.29928564],[-0.02876053],9.419490562571738,0.0001,9.504101072867934,10.44240555070622
[5.24110271],0.514046435896077,13.444285037614145,1e-07,0.13470351723849144,0.43825366939998345,1.0,0.042576332163865784,22.7930735970382,0.5140464358953523,219.0614769471292,185.786,1750.8390530411743,74,[5.27052511],[-0.02942239],9.423955804211158,0.0001,9.504632112061165,10.447908106964153
