ITERATIONS,Theta,Traj,Wins,NormDeltaVar,Omega,TimestepsMean,ConfortViolation,TimestepsStd,RewardStd,DeltaOmega,RewardMean,NormDeltaOmega,ReturnsStd,ReturnsMean,OmegaBefore
133,0.044548985632164285,20,0.0,0.37723545488048416,0.9848806396427698,500.0,0,0.0,2.8325233344140344,5.3600833076372645e-05,2.7534,5.3600833076372645e-05,58.13527328567399,1376.7,0.9848270388096935
134,0.043563074169281846,20,0.0,0.33444091923154673,0.9848728005935485,500.0,0,0.0,2.869827562764007,-7.839049221303185e-06,2.8324,7.839049221303185e-06,51.95344069452956,1416.2,0.9848806396427698
135,0.0423611438003641,20,0.0,0.4176318937772123,0.984987584442501,500.0,0,0.0,2.8201665128144473,0.00011478384895247107,2.7578,0.00011478384895247107,87.76667932649612,1378.9,0.9848728005935485
136,0.04126654896723251,20,0.0,0.3903094904903881,0.9851350651457944,500.0,0,0.0,2.8888139503955594,0.00014748070329340113,2.8414,0.00014748070329340113,69.70588210474064,1420.7,0.984987584442501
137,0.04038538508966694,20,0.0,0.32147035157348114,0.9852616018767745,500.0,0,0.0,2.8898325487820222,0.00012653673098006468,2.8528,0.00012653673098006468,70.0445572475121,1426.4,0.9851350651457944
138,0.039582801596143254,20,0.0,0.2987036312101239,0.9853348858777325,500.0,0,0.0,2.909890382815133,7.328400095807375e-05,2.8714,7.328400095807375e-05,74.55005030179389,1435.7,0.9852616018767745
139,0.03859444788399686,20,0.0,0.3759264374126232,0.9855747087543992,500.0,0,0.0,2.9282723848713257,0.00023982287666668434,2.8922,0.00023982287666668434,60.44989660867916,1446.1,0.9853348858777325
140,0.03762873231400679,20,0.0,0.37634988488694887,0.9856748506753136,500.0,0,0.0,2.9145711451258145,0.00010014192091434282,2.8748,0.00010014192091434282,80.7343792940777,1437.4,0.9855747087543992
141,0.03675626746626287,20,0.0,0.3480761284256175,0.9857384160913213,500.0,0,0.0,2.911671162751728,6.356541600771592e-05,2.8652,6.356541600771592e-05,66.33581234898688,1432.6,0.9856748506753136
142,0.036030221627362864,20,0.0,0.29577350668989055,0.98589718941481,500.0,0,0.0,2.903431321729516,0.00015877332348868123,2.8716,0.00015877332348868123,83.8424713376222,1435.8,0.9857384160913213
143,0.03545780016130371,20,0.0,0.23726364250700982,0.9861174369796591,500.0,0,0.0,2.8894885291345247,0.00022024756484917418,2.8598,0.00022024756484917418,69.55134793805222,1429.9,0.98589718941481
144,0.0348728279788193,20,0.0,0.2463085168748691,0.9862175111289341,500.0,0,0.0,2.9317564701045686,0.0001000741492749313,2.902,0.0001000741492749313,54.473846935937985,1451.0,0.9861174369796591
145,0.03430518959813986,20,0.0,0.242847013728003,0.9863195761870409,500.0,0,0.0,2.903545246762998,0.00010206505810683719,2.865,0.00010206505810683719,64.73600234799798,1432.5,0.9862175111289341
146,0.03374895840695353,20,0.0,0.24175589970585776,0.9866092684897605,500.0,0,0.0,2.900945363153191,0.0002896923027195797,2.854,0.0002896923027195797,79.58014827832379,1427.0,0.9863195761870409
147,0.03322125569517532,20,0.0,0.23293767252031472,0.9869888736225312,500.0,0,0.0,2.8985341122712356,0.0003796051327706884,2.85,0.0003796051327706884,97.35399324116088,1425.0,0.9866092684897605
148,0.03274470951497144,20,0.0,0.21344707928697204,0.9875442383142119,500.0,0,0.0,2.8737084333661964,0.0005553646916807153,2.8228,0.0005553646916807153,68.83051648796484,1411.4,0.9869888736225312
149,0.03226722310255442,20,0.0,0.21689980265671238,0.9879463511385401,500.0,0,0.0,2.9224430807117527,0.0004021128243282268,2.8762,0.0004021128243282268,68.0543165420093,1438.1,0.9875442383142119
150,0.031990506508707245,20,0.0,0.12712379301401455,0.9881927212809644,500.0,0,0.0,2.926239880802666,0.00024637014242423483,2.9004,0.00024637014242423483,79.16034360713702,1450.2,0.9879463511385401
151,0.03155226509612947,20,0.0,0.203520410843808,0.9884248936535911,500.0,0,0.0,2.895662715165563,0.00023217237262673773,2.8588,0.00023217237262673773,68.00911703587983,1429.4,0.9881927212809644
152,0.031224268555881205,20,0.0,0.1541196412547805,0.9888177089655421,500.0,0,0.0,2.9101370345741455,0.0003928153119510114,2.8838,0.0003928153119510114,65.86190097469097,1441.9,0.9884248936535911
153,0.03097546671704921,20,0.0,0.11795605363013806,0.9891949039966079,500.0,0,0.0,2.891870840822598,0.0003771950310658134,2.8548,0.0003771950310658134,67.83538899424104,1427.4,0.9888177089655421
154,0.030851176222300342,20,0.0,0.05926962097166921,0.9895553332720654,500.0,0,0.0,2.8956117902785246,0.0003604292754574301,2.8606,0.0003604292754574301,76.45985874954256,1430.3,0.9891949039966079
